filepath,n_nodes,n_edges,density,perturbation,chalupa_time,chalupa_theta,chalupa_status,chalupa_gap,chalupa_kernel_nodes,chalupa_kernel_edges,chalupa_used_warmstart,chalupa_start_objective,chalupa_improvement_over_start,chalupa_rounds,chalupa_k_start,chalupa_k_final,chalupa_k_rounds,chalupa_kernel_nodes_rounds,chalupa_kernel_edges_rounds,chalupa_round_logs,ilp_time,ilp_theta,ilp_status,ilp_gap,ilp_kernel_nodes,ilp_kernel_edges,ilp_used_warmstart,ilp_start_objective,ilp_improvement_over_start,ilp_rounds,ilp_k_start,ilp_k_final,ilp_k_rounds,ilp_kernel_nodes_rounds,ilp_kernel_edges_rounds,ilp_round_logs,ilp_warmstart_time,ilp_warmstart_theta,ilp_warmstart_status,ilp_warmstart_gap,ilp_warmstart_used,ilp_warmstart_start_objective,ilp_warmstart_improvement_over_start,ilp_warmstart_kernel_nodes,ilp_warmstart_kernel_edges,ilp_warmstart_used_warmstart,ilp_warmstart_rounds,ilp_warmstart_k_start,ilp_warmstart_k_final,ilp_warmstart_k_rounds,ilp_warmstart_kernel_nodes_rounds,ilp_warmstart_kernel_edges_rounds,ilp_warmstart_round_logs,reduced_ilp_time,reduced_ilp_theta,reduced_ilp_status,reduced_ilp_gap,reduced_ilp_kernel_nodes,reduced_ilp_kernel_edges,reduced_ilp_used_warmstart,reduced_ilp_start_objective,reduced_ilp_improvement_over_start,reduced_ilp_rounds,reduced_ilp_k_start,reduced_ilp_k_final,reduced_ilp_k_rounds,reduced_ilp_kernel_nodes_rounds,reduced_ilp_kernel_edges_rounds,reduced_ilp_round_logs,interactive_ilp_time,interactive_ilp_theta,interactive_ilp_status,interactive_ilp_gap,interactive_ilp_rounds,interactive_ilp_k_start,interactive_ilp_k_final,interactive_ilp_k_rounds,interactive_ilp_kernel_nodes,interactive_ilp_kernel_edges,interactive_ilp_kernel_nodes_rounds,interactive_ilp_kernel_edges_rounds,interactive_ilp_round_logs,interactive_ilp_used_warmstart,interactive_ilp_start_objective,interactive_ilp_improvement_over_start,chalupa_quality_ratio,chalupa_absolute_gap,ilp_warmstart_quality_ratio,ilp_warmstart_absolute_gap,reduced_ilp_quality_ratio,reduced_ilp_absolute_gap,interactive_ilp_quality_ratio,interactive_ilp_absolute_gap,quality_ratio,absolute_gap
test_graphs/generated/perturbed/uniform_n3_s2_r30.txt,6,3,0.2,0.3,0.02055525779724121,4,heuristic,,6,3,False,,,0,,,,[6],[3],"[{'stage': 'heuristic', 'kernel_nodes': 6, 'kernel_edges': 3}]",0.002053976058959961,4.0,optimal,0.0,6,3,False,,,0,,4.0,,,,,0.0016129016876220703,4.0,optimal,0.0,True,4,0.0,6,3,True,0,,4.0,,,,,0.019771575927734375,1.0,optimal,0.0,2,0,False,,,1,4,1.0,"[4, 1]",[2],[0],"[{'round': 1, 'ub': 4, 'reduction_removed_nodes': 4, 'kernel_nodes': 2, 'kernel_edges': 0}]",0.0,0.0,optimal,0.0,3,4,0,"[4, 1, 0]",0,0,"[2, 0, 0]","[0, 0, 0]","[{'round': 1, 'ub': 4, 'kernel_nodes_before': 6, 'kernel_edges_before': 12, 'kernel_nodes': 2, 'kernel_edges': 0, 'reduction_removed_nodes': 4}, {'round': 2, 'ub': 1, 'kernel_nodes_before': 2, 'kernel_edges_before': 0, 'kernel_nodes': 0, 'kernel_edges': 0, 'reduction_removed_nodes': 2}, {'round': 3, 'ub': 0, 'kernel_nodes_before': 0, 'kernel_edges_before': 0, 'kernel_nodes': 0, 'kernel_edges': 0, 'reduction_removed_nodes': 0}]",False,,,1.0,0.0,1.0,0.0,0.25,-3.0,0.0,-4.0,1.0,0.0
test_graphs/generated/perturbed/uniform_n5_s2_r30.txt,10,7,0.15555555555555556,0.3,0.023513317108154297,5,heuristic,,10,7,False,,,0,,,,[10],[7],"[{'stage': 'heuristic', 'kernel_nodes': 10, 'kernel_edges': 7}]",0.0016400814056396484,5.0,optimal,0.0,10,7,False,,,0,,5.0,,,,,0.0013947486877441406,5.0,optimal,0.0,True,5,0.0,10,7,True,0,,5.0,,,,,0.02584362030029297,3.0,optimal,0.0,6,12,False,,,1,5,3.0,"[5, 3]",[6],[12],"[{'round': 1, 'ub': 5, 'reduction_removed_nodes': 4, 'kernel_nodes': 6, 'kernel_edges': 12}]",0.0007872581481933594,3.0,optimal,0.0,2,5,3,"[5, 3]",6,12,"[6, 6]","[12, 12]","[{'round': 1, 'ub': 5, 'kernel_nodes_before': 10, 'kernel_edges_before': 38, 'kernel_nodes': 6, 'kernel_edges': 12, 'reduction_removed_nodes': 4}, {'round': 2, 'ub': 3, 'kernel_nodes_before': 6, 'kernel_edges_before': 12, 'kernel_nodes': 6, 'kernel_edges': 12, 'reduction_removed_nodes': 0}]",False,,,1.0,0.0,1.0,0.0,0.6,-2.0,0.6,-2.0,1.0,0.0
test_graphs/generated/perturbed/uniform_n3_s6_r30.txt,18,45,0.29411764705882354,0.3,0.055414676666259766,6,heuristic,,18,45,False,,,0,,,,[18],[45],"[{'stage': 'heuristic', 'kernel_nodes': 18, 'kernel_edges': 45}]",0.010376691818237305,,error,,18,45,False,,,0,,,,,,,0.06814789772033691,,error,,True,6,,18,45,True,0,,,,,,,0.061731815338134766,4.0,optimal,0.0,13,49,False,,,1,6,4.0,"[6, 4]",[13],[49],"[{'round': 1, 'ub': 6, 'reduction_removed_nodes': 5, 'kernel_nodes': 13, 'kernel_edges': 49}]",0.0016102790832519531,4.0,optimal,0.0,2,6,4,"[6, 4]",13,49,"[13, 13]","[49, 49]","[{'round': 1, 'ub': 6, 'kernel_nodes_before': 18, 'kernel_edges_before': 108, 'kernel_nodes': 13, 'kernel_edges': 49, 'reduction_removed_nodes': 5}, {'round': 2, 'ub': 4, 'kernel_nodes_before': 13, 'kernel_edges_before': 49, 'kernel_nodes': 13, 'kernel_edges': 49, 'reduction_removed_nodes': 0}]",False,,,,,,,,,,,,
test_graphs/generated/perturbed/uniform_n5_s6_r30.txt,30,66,0.15172413793103448,0.3,0.10541200637817383,12,heuristic,,30,66,False,,,0,,,,[30],[66],"[{'stage': 'heuristic', 'kernel_nodes': 30, 'kernel_edges': 66}]",0.05637621879577637,,error,,30,66,False,,,0,,,,,,,0.1799767017364502,,error,,True,12,,30,66,True,0,,,,,,,0.13871049880981445,,error,,25,243,False,,,1,12,,,[25],[243],"[{'round': 1, 'ub': 12, 'reduction_removed_nodes': 5, 'kernel_nodes': 25, 'kernel_edges': 243}]",0.2218341827392578,,error,,2,12,9,"[12, 9]",25,243,"[25, 25]","[243, 243]","[{'round': 1, 'ub': 12, 'kernel_nodes_before': 30, 'kernel_edges_before': 369, 'kernel_nodes': 25, 'kernel_edges': 243, 'reduction_removed_nodes': 5}, {'round': 2, 'ub': 9, 'kernel_nodes_before': 25, 'kernel_edges_before': 243, 'kernel_nodes': 25, 'kernel_edges': 243, 'reduction_removed_nodes': 0}]",False,,,,,,,,,,,,
test_graphs/generated/perturbed/uniform_n3_s12_r30.txt,36,174,0.2761904761904762,0.3,0.2103586196899414,9,heuristic,,36,174,False,,,0,,,,[36],[174],"[{'stage': 'heuristic', 'kernel_nodes': 36, 'kernel_edges': 174}]",0.07205867767333984,,error,,36,174,False,,,0,,,,,,,0.2847771644592285,,error,,True,9,,36,174,True,0,,,,,,,0.2840597629547119,,error,,36,456,False,,,1,9,,,[36],[456],"[{'round': 1, 'ub': 9, 'reduction_removed_nodes': 0, 'kernel_nodes': 36, 'kernel_edges': 456}]",0.2883434295654297,,error,,1,9,9,[9],36,456,[36],[456],"[{'round': 1, 'ub': 9, 'kernel_nodes_before': 36, 'kernel_edges_before': 456, 'kernel_nodes': 36, 'kernel_edges': 456, 'reduction_removed_nodes': 0}]",False,,,,,,,,,,,,
test_graphs/generated/perturbed/uniform_n5_s12_r30.txt,60,345,0.19491525423728814,0.3,0.5553596019744873,18,heuristic,,60,345,False,,,0,,,,[60],[345],"[{'stage': 'heuristic', 'kernel_nodes': 60, 'kernel_edges': 345}]",0.4032292366027832,,error,,60,345,False,,,0,,,,,,,0.9319941997528076,,error,,True,18,,60,345,True,0,,,,,,,0.9641029834747314,,error,,60,1425,False,,,1,18,,,[60],[1425],"[{'round': 1, 'ub': 18, 'reduction_removed_nodes': 0, 'kernel_nodes': 60, 'kernel_edges': 1425}]",0.977553129196167,,error,,1,18,18,[18],60,1425,[60],[1425],"[{'round': 1, 'ub': 18, 'kernel_nodes_before': 60, 'kernel_edges_before': 1425, 'kernel_nodes': 60, 'kernel_edges': 1425, 'reduction_removed_nodes': 0}]",False,,,,,,,,,,,,
test_graphs/generated/perturbed/skewed_cliques2_min1_max5_perturbation10.txt,2,1,1.0,,0.011590242385864258,1,heuristic,,2,1,False,,,0,,,,[2],[1],"[{'stage': 'heuristic', 'kernel_nodes': 2, 'kernel_edges': 1}]",0.00011587142944335938,1.0,optimal,0.0,2,1,False,,,0,,1.0,,,,,5.888938903808594e-05,1.0,optimal,0.0,True,1,0.0,2,1,True,0,,1.0,,,,,0.011589527130126953,0.0,optimal,0.0,0,0,False,,,1,1,0.0,"[1, 0]",[0],[0],"[{'round': 1, 'ub': 1, 'reduction_removed_nodes': 2, 'kernel_nodes': 0, 'kernel_edges': 0}]",0.0,0.0,optimal,0.0,2,1,0,"[1, 0]",0,0,"[0, 0]","[0, 0]","[{'round': 1, 'ub': 1, 'kernel_nodes_before': 2, 'kernel_edges_before': 0, 'kernel_nodes': 0, 'kernel_edges': 0, 'reduction_removed_nodes': 2}, {'round': 2, 'ub': 0, 'kernel_nodes_before': 0, 'kernel_edges_before': 0, 'kernel_nodes': 0, 'kernel_edges': 0, 'reduction_removed_nodes': 0}]",False,,,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,1.0,0.0
test_graphs/generated/perturbed/skewed_cliques2_min1_max5_perturbation30.txt,4,3,0.5,,0.013929367065429688,2,heuristic,,4,3,False,,,0,,,,[4],[3],"[{'stage': 'heuristic', 'kernel_nodes': 4, 'kernel_edges': 3}]",0.00016117095947265625,2.0,optimal,0.0,4,3,False,,,0,,2.0,,,,,0.00014090538024902344,2.0,optimal,0.0,True,2,0.0,4,3,True,0,,2.0,,,,,0.014278411865234375,1.0,optimal,0.0,3,0,False,,,1,2,1.0,"[2, 1]",[3],[0],"[{'round': 1, 'ub': 2, 'reduction_removed_nodes': 1, 'kernel_nodes': 3, 'kernel_edges': 0}]",0.0,0.0,optimal,0.0,3,2,0,"[2, 1, 0]",0,0,"[3, 0, 0]","[0, 0, 0]","[{'round': 1, 'ub': 2, 'kernel_nodes_before': 4, 'kernel_edges_before': 3, 'kernel_nodes': 3, 'kernel_edges': 0, 'reduction_removed_nodes': 1}, {'round': 2, 'ub': 1, 'kernel_nodes_before': 3, 'kernel_edges_before': 0, 'kernel_nodes': 0, 'kernel_edges': 0, 'reduction_removed_nodes': 3}, {'round': 3, 'ub': 0, 'kernel_nodes_before': 0, 'kernel_edges_before': 0, 'kernel_nodes': 0, 'kernel_edges': 0, 'reduction_removed_nodes': 0}]",False,,,1.0,0.0,1.0,0.0,0.5,-1.0,0.0,-2.0,1.0,0.0
test_graphs/generated/perturbed/skewed_cliques2_min1_max5_perturbation80.txt,4,2,0.3333333333333333,,0.014291763305664062,3,heuristic,,4,2,False,,,0,,,,[4],[2],"[{'stage': 'heuristic', 'kernel_nodes': 4, 'kernel_edges': 2}]",0.0002219676971435547,3.0,optimal,0.0,4,2,False,,,0,,3.0,,,,,0.00016021728515625,3.0,optimal,0.0,True,3,0.0,4,2,True,0,,3.0,,,,,0.014768600463867188,1.0,optimal,0.0,2,0,False,,,1,3,1.0,"[3, 1]",[2],[0],"[{'round': 1, 'ub': 3, 'reduction_removed_nodes': 2, 'kernel_nodes': 2, 'kernel_edges': 0}]",0.0,0.0,optimal,0.0,3,3,0,"[3, 1, 0]",0,0,"[2, 0, 0]","[0, 0, 0]","[{'round': 1, 'ub': 3, 'kernel_nodes_before': 4, 'kernel_edges_before': 4, 'kernel_nodes': 2, 'kernel_edges': 0, 'reduction_removed_nodes': 2}, {'round': 2, 'ub': 1, 'kernel_nodes_before': 2, 'kernel_edges_before': 0, 'kernel_nodes': 0, 'kernel_edges': 0, 'reduction_removed_nodes': 2}, {'round': 3, 'ub': 0, 'kernel_nodes_before': 0, 'kernel_edges_before': 0, 'kernel_nodes': 0, 'kernel_edges': 0, 'reduction_removed_nodes': 0}]",False,,,1.0,0.0,1.0,0.0,0.3333333333333333,-2.0,0.0,-3.0,1.0,0.0
test_graphs/generated/perturbed/skewed_cliques3_min1_max5_perturbation10.txt,5,3,0.3,,0.01495671272277832,3,heuristic,,5,3,False,,,0,,,,[5],[3],"[{'stage': 'heuristic', 'kernel_nodes': 5, 'kernel_edges': 3}]",0.00025653839111328125,3.0,optimal,0.0,5,3,False,,,0,,3.0,,,,,0.00023484230041503906,3.0,optimal,0.0,True,3,0.0,5,3,True,0,,3.0,,,,,0.015682697296142578,1.0,optimal,0.0,3,0,False,,,1,3,1.0,"[3, 1]",[3],[0],"[{'round': 1, 'ub': 3, 'reduction_removed_nodes': 2, 'kernel_nodes': 3, 'kernel_edges': 0}]",0.0,0.0,optimal,0.0,3,3,0,"[3, 1, 0]",0,0,"[3, 0, 0]","[0, 0, 0]","[{'round': 1, 'ub': 3, 'kernel_nodes_before': 5, 'kernel_edges_before': 7, 'kernel_nodes': 3, 'kernel_edges': 0, 'reduction_removed_nodes': 2}, {'round': 2, 'ub': 1, 'kernel_nodes_before': 3, 'kernel_edges_before': 0, 'kernel_nodes': 0, 'kernel_edges': 0, 'reduction_removed_nodes': 3}, {'round': 3, 'ub': 0, 'kernel_nodes_before': 0, 'kernel_edges_before': 0, 'kernel_nodes': 0, 'kernel_edges': 0, 'reduction_removed_nodes': 0}]",False,,,1.0,0.0,1.0,0.0,0.3333333333333333,-2.0,0.0,-3.0,1.0,0.0
